CD_PREST,CD_PREST_VINC,CD_END,CD_END_VINC,ID_ORIGEM
3,164000390146,Comercial,Comercial,343416
4,164000390146,Residencial,Residencial,343752
1,164000480617,Comercial,Comercial,292111
4,164000480617,Residencial,Residencial,343730
1,164000388109,Comercial,Comercial,344257
2,164000388109,Residencial,Residencial,305962
4,164000508341,Residencial,Residencial,355140
5,164000508341,Comercial,Comercial,401945
3,164000406370,Residencial,Residencial,384876
4,164000406370,Comercial,Comercial,400070
5,164000406370,Comercial,Comercial,405126
1,164210008124,Comercial,Comercial,297098
2,164000332367,Comercial,Comercial,303009
4,164000332367,Comercial,Comercial,324969
5,164000332367,Residencial,Residencial,388597
1,164000425160,Comercial,Comercial,344391
3,164000425160,Residencial,Residencial,307919
1,164000415486,Comercial,Comercial,304268
2,164000415486,Residencial,Residencial,307958
1,164000428496,Comercial,Comercial,304271
4,164000428496,Residencial,Residencial,343766
2,164000315187,Residencial,Residencial,307913
3,164000315187,Comercial,Comercial,391092
1,164210004790,Comercial,Comercial,305526
1,164310005178,Comercial,Comercial,306961
1,164000437908,Comercial,Comercial,314748
2,164000437908,Residencial,Residencial,319506
3,164000413979,Residencial,Residencial,343700
4,164000413979,Comercial,Comercial,385329
5,164000413979,Comercial,Comercial,403306
2,164000462449,Comercial,Comercial,318073
3,164000462449,Residencial,Residencial,321580
2,164000164804,Comercial,Comercial,310294
3,164000164804,Residencial,Residencial,312758
1,164000582610,Residencial,Residencial,311001
3,164000582610,Comercial,Comercial,377595
1,164310005184,Comercial,Comercial,311623
3,164000393838,Comercial,Comercial,343515
4,164000393838,Residencial,Residencial,343684
1,164000501657,Comercial,Comercial,314749
2,164000501657,Residencial,Residencial,343690
1,164000488162,Comercial,Comercial,318066
2,164000488162,Residencial,Residencial,318067
1,164000476148,Residencial,Residencial,320300
2,164000476148,Comercial,Comercial,320301
1,164000604210,Residencial,Residencial,321505
3,164000604210,Comercial,Comercial,384895
2,164000339159,Comercial,Comercial,321608
3,164000339159,Residencial,Residencial,387771
1,164310005194,Comercial,Comercial,326142
2,164000474100,Residencial,Residencial,345617
3,164000474100,Comercial,Comercial,347124
1,164000587280,Comercial,Comercial,383882
3,164000587280,Residencial,Residencial,407769
1,164000631000,Comercial,Comercial,398813
2,164000631000,Residencial,Residencial,398815
2,164210004862,Comercial,Comercial,338062
3,164000644360,Comercial,Comercial,383333
4,164000644360,Residencial,Residencial,399318
2,164210004880,Comercial,Comercial,384930
1,164000467970,Residencial,Residencial,334829
2,164000467970,Comercial,Comercial,335961
1,164000466620,Comercial,Comercial,335131
2,164000466620,Residencial,Residencial,335132
1,164000656750,Residencial,Residencial,345633
3,164000656750,Comercial,Comercial,347116
1,164000508710,Residencial,Residencial,383045
2,164000508710,Comercial,Comercial,383047
3,164000508710,Comercial,Comercial,384361
1,164210006110,Comercial,Comercial,343242
1,164000669310,Comercial,Comercial,398567
2,164000669310,Residencial,Residencial,398568
1,164210004910,Comercial,Comercial,345819
2,164000540430,Residencial,Residencial,346139
5,164000540430,Comercial,Comercial,394592
2,164000674150,Residencial,Residencial,398864
3,164000674150,Comercial,Comercial,408481
4,164000533060,Residencial,Residencial,384810
5,164000533060,Comercial,Comercial,395166
1,164210004920,Comercial,Comercial,347234
2,164000505730,Comercial,Comercial,349889
3,164000505730,Residencial,Residencial,384811
1,164310005200,Comercial,Comercial,349905
1,164000496860,Residencial,Residencial,350410
2,164000496860,Comercial,Comercial,350412
1,164000721630,Residencial,Residencial,350417
3,164000721630,Comercial,Comercial,383330
1,16411000626,Comercial,Comercial,350464
1,164110006270,Comercial,Comercial,350464
1,164110006280,Comercial,Comercial,350464
1,164110006290,Comercial,Comercial,350464
1,164110006300,Comercial,Comercial,350464
2,164000649230,Comercial,Comercial,350692
3,164000649230,Residencial,Residencial,384666
1,164210008370,Comercial,Comercial,351027
1,164000500880,Comercial,Comercial,358851
2,164000500880,Residencial,Residencial,358852
2,164000596100,Comercial,Comercial,354848
4,164000596100,Residencial,Residencial,375734
2,164000533540,Comercial,Comercial,375949
3,164000533540,Residencial,Residencial,385040
2,164000533520,Comercial,Comercial,353395
3,164000533520,Residencial,Residencial,384812
2,164000550100,Residencial,Residencial,354579
3,164000550100,Comercial,Comercial,384934
1,164000569050,Residencial,Residencial,356590
4,164000569050,Comercial,Comercial,391429
2,164000466120,Comercial,Comercial,355746
3,164000466120,Residencial,Residencial,385041
4,164000466120,Comercial,Comercial,385547
1,164000675090,Residencial,Residencial,383048
3,164000675090,Comercial,Comercial,399817
1,164000635010,Residencial,Residencial,356220
2,164000635010,Comercial,Comercial,384808
1,164000568950,Comercial,Comercial,358800
2,164000568950,Residencial,Residencial,358801
3,164000568950,Comercial,Comercial,385548
1,164210000020,Comercial,Comercial,359274
1,164310005210,Comercial,Comercial,359731
1,164000622860,Comercial,Comercial,359778
2,164000622860,Residencial,Residencial,359777
2,164000498710,Residencial,Residencial,382566
3,164000498710,Comercial,Comercial,387304
4,164000498710,Comercial,Comercial,395303
1,164000580640,Comercial,Comercial,382570
2,164000580640,Residencial,Residencial,382571
2,164000698710,Residencial,Residencial,375938
3,164000698710,Comercial,Comercial,376001
1,164000408160,Residencial,Residencial,375955
2,164000408160,Comercial,Comercial,375956
1,164000642780,Residencial,Residencial,378055
2,164000642780,Comercial,Comercial,378056
4,164000787380,Residencial,Residencial,384814
5,164000787380,Comercial,Comercial,394594
1,164310005220,Comercial,Comercial,378051
1,164210004990,Comercial,Comercial,379354
1,164000726150,Residencial,Residencial,387388
3,164000726150,Comercial,Comercial,399786
1,164000604100,Comercial,Comercial,388108
